trajet_id,ville_depart,ville_arrivee,distance_km,duree_prevue_h,retard_min,prix_billet,nb_passagers,capacite_bus,type_bus,jour_semaine,periode_depart,condition_route,carburant_litre,satisfaction_client
1,Tsévié,Tsévié,56.0,7.2,163.0,8847.0,52.0,50.0,Climatisé,Dimanche,Après-midi,Bonne,43.4,3
2,Sokodé,Tsévié,,2.9,124.0,9401.0,39.0,,Standard,Dimanche,,Moyenne,73.7,4
3,Dapaong,Sokodé,496.0,1.6,163.0,9228.0,56.0,,Standard,Dimanche,Soir,Bonne,26.5,2
4,Sokodé,Lomé,463.0,8.8,88.0,3618.0,,,VIP,Jeudi,Matin,Mauvaise,42.5,4
5,Kara,Dapaong,130.0,3.4,32.0,7518.0,67.0,50.0,VIP,Dimanche,Après-midi,Mauvaise,21.5,1
6,Atakpamé,Dapaong,643.0,7.7,172.0,3194.0,26.0,30.0,Standard,Samedi,Soir,Bonne,46.1,1
7,Sokodé,Atakpamé,491.0,6.4,143.0,4272.0,43.0,40.0,Standard,Samedi,Soir,Bonne,63.0,5
8,Atakpamé,Kara,642.0,6.1,40.0,11106.0,20.0,40.0,Climatisé,Mardi,,Mauvaise,58.2,4
9,Kara,Tsévié,284.0,4.8,135.0,3824.0,66.0,30.0,Climatisé,,Soir,Mauvaise,,4
10,Kara,Atakpamé,345.0,7.0,167.0,8811.0,29.0,30.0,Standard,Mercredi,Soir,Bonne,32.4,1
11,Lomé,Dapaong,381.0,11.7,55.0,8641.0,31.0,30.0,VIP,Dimanche,Après-midi,Moyenne,44.3,1
12,Kara,Tsévié,,9.5,4.0,10487.0,,40.0,Standard,Mardi,Après-midi,Mauvaise,73.6,5
13,Kara,Atakpamé,59.0,5.8,146.0,3269.0,25.0,70.0,Climatisé,Samedi,Matin,Bonne,35.0,2
14,Lomé,Kara,637.0,10.7,33.0,,7.0,40.0,Climatisé,Jeudi,Soir,Moyenne,64.6,3
15,Lomé,Atakpamé,185.0,7.0,53.0,2619.0,21.0,30.0,Climatisé,Vendredi,,Moyenne,,1
16,Kara,Dapaong,568.0,11.9,138.0,9575.0,59.0,70.0,,Dimanche,Après-midi,Mauvaise,60.9,1
17,,Sokodé,257.0,11.7,97.0,10690.0,55.0,50.0,,Jeudi,Après-midi,Mauvaise,15.9,5
18,Tsévié,Dapaong,358.0,,25.0,9262.0,69.0,40.0,Standard,Vendredi,Soir,Bonne,41.9,3
19,Dapaong,Atakpamé,508.0,3.3,,11243.0,60.0,70.0,Climatisé,Jeudi,Soir,Moyenne,68.1,1
20,Sokodé,Sokodé,77.0,10.3,165.0,4937.0,18.0,30.0,Standard,Samedi,Matin,Moyenne,61.9,3
21,Lomé,Dapaong,399.0,5.3,,7018.0,57.0,,Standard,Vendredi,Après-midi,Bonne,55.8,2
22,Dapaong,Kara,,4.1,112.0,6156.0,46.0,50.0,VIP,Lundi,Matin,Bonne,39.1,2
23,,Kara,267.0,7.1,103.0,5793.0,34.0,60.0,,Lundi,Soir,Moyenne,51.6,3
24,Atakpamé,Dapaong,68.0,8.6,110.0,6809.0,63.0,70.0,Standard,Mercredi,Après-midi,Mauvaise,15.2,2
25,Sokodé,,156.0,4.8,,10830.0,,30.0,Climatisé,Mardi,Matin,Moyenne,33.2,4
26,Dapaong,Sokodé,192.0,10.5,142.0,,31.0,60.0,Standard,Dimanche,Soir,Bonne,16.7,1
27,Sokodé,Lomé,,6.8,174.0,9042.0,22.0,30.0,VIP,Vendredi,Soir,Moyenne,50.0,5
28,Dapaong,Dapaong,287.0,3.9,130.0,2913.0,45.0,40.0,Climatisé,Mardi,Soir,Bonne,33.6,4
29,Lomé,Atakpamé,591.0,8.6,,7781.0,37.0,30.0,,Mercredi,Matin,Bonne,58.7,4
30,Tsévié,Tsévié,341.0,6.4,0.0,4947.0,8.0,50.0,VIP,Mardi,,Bonne,78.9,3
31,Lomé,Dapaong,585.0,3.1,76.0,2565.0,18.0,60.0,VIP,Mardi,Soir,Moyenne,63.1,1
32,Kara,Tsévié,391.0,2.3,54.0,,30.0,40.0,,Vendredi,Après-midi,Bonne,76.7,3
