trajet_id,ville_depart,ville_arrivee,distance_km,duree_prevue_h,retard_min,prix_billet,nb_passagers,capacite_bus,type_bus,jour_semaine,periode_depart,condition_route,carburant_litre,satisfaction_client,taux_remplissage,retard_par_km,retard_par_heure,conso_par_km,efficacite_economique,revenu_trajet,vitesse_moyenne,retard_significatif,categorie_remplissage
1,Tsévié,Tsévié,56.0,7.2,163.0,8847.0,50.0,50.0,Climatisé,Dimanche,Après-midi,Bonne,43.4,3,100.0,2.9107142857142856,22.63888888888889,0.775,63.06306306306306,442350.0,7.777777777777778,1,Élevé
2,Sokodé,Tsévié,355.0,2.9,124.0,9401.0,39.0,50.0,Standard,Dimanche,Soir,Moyenne,73.7,4,78.0,0.3492957746478873,42.758620689655174,0.2076056338028169,185.34136546184737,366639.0,122.41379310344828,1,Moyen
3,Dapaong,Sokodé,496.0,1.6,163.0,9228.0,50.0,50.0,Standard,Dimanche,Soir,Bonne,26.5,2,100.0,0.3286290322580645,101.875,0.05342741935483871,901.8181818181819,461400.0,310.0,1,Élevé
4,Sokodé,Lomé,463.0,8.8,88.0,3618.0,39.0,50.0,VIP,Jeudi,Matin,Mauvaise,42.5,4,78.0,0.1900647948164147,10.0,0.091792656587473,415.1034482758621,141102.0,52.61363636363636,1,Moyen
5,Kara,Dapaong,130.0,3.4,32.0,7518.0,50.0,50.0,VIP,Dimanche,Après-midi,Mauvaise,21.5,1,100.0,0.24615384615384617,9.411764705882353,0.16538461538461538,288.8888888888889,375900.0,38.23529411764706,1,Élevé
6,Atakpamé,Dapaong,643.0,7.7,172.0,3194.0,26.0,30.0,Standard,Samedi,Soir,Bonne,46.1,1,86.66666666666667,0.26749611197511663,22.337662337662337,0.07169517884914464,354.9469214437367,83044.0,83.5064935064935,1,Élevé
7,Sokodé,Atakpamé,491.0,6.4,143.0,4272.0,40.0,40.0,Standard,Samedi,Soir,Bonne,63.0,5,100.0,0.29124236252545826,22.34375,0.12830957230142567,306.875,170880.0,76.71875,1,Élevé
8,Atakpamé,Kara,642.0,6.1,40.0,11106.0,20.0,40.0,Climatisé,Mardi,Soir,Mauvaise,58.2,4,50.0,0.06230529595015576,6.557377049180328,0.09065420560747664,216.89189189189187,222120.0,105.24590163934427,1,Faible
9,Kara,Tsévié,284.0,4.8,135.0,3824.0,30.0,30.0,Climatisé,Mercredi,Soir,Mauvaise,47.349999999999994,4,100.0,0.4753521126760563,28.125,0.16672535211267603,176.21509824198554,114720.0,59.16666666666667,1,Élevé
10,Kara,Atakpamé,345.0,7.0,167.0,8811.0,29.0,30.0,Standard,Mercredi,Soir,Bonne,32.4,1,96.66666666666667,0.48405797101449277,23.857142857142858,0.09391304347826086,299.55089820359285,255519.0,49.285714285714285,1,Élevé
